ma_id,trial_id,claimed_a,claimed_b,claimed_c,claimed_union,truth_d1,truth_d2,truth_d3,tp_at_d3,fp_at_d3,fn_at_d3,tn_at_d3,confidence_layer_m,confidence_layer_t,source_lines
leong-2024-j-acquir-immune-defic-syndr,ASPIRE,False,True,True,True,True,True,True,True,False,False,False,high,high,leong-2024-j-acquir-immune-defic-syndr-table2;leong-2024-j-acquir-immune-defic-syndr-methods-model;leong-2024-j-acquir-immune-defic-syndr-discussion
leong-2024-j-acquir-immune-defic-syndr,MTN_025_HOPE,False,False,True,True,True,True,True,True,False,False,False,high,high,leong-2024-j-acquir-immune-defic-syndr-methods-model;leong-2024-j-acquir-immune-defic-syndr-etd-desirable-effects
leong-2024-j-acquir-immune-defic-syndr,RING_STUDY,False,True,True,True,True,True,True,True,False,False,False,high,high,leong-2024-j-acquir-immune-defic-syndr-table2;leong-2024-j-acquir-immune-defic-syndr-methods-model
lorenzetti-2023-j-int-aids-soc,HPTN_083,False,False,True,True,True,False,False,False,True,False,False,high,high,lorenzetti-2023-j-int-aids-soc-introduction;lorenzetti-2023-j-int-aids-soc-results-agyw
lorenzetti-2023-j-int-aids-soc,HPTN_084,False,False,True,True,True,True,True,True,False,False,False,high,high,lorenzetti-2023-j-int-aids-soc-introduction;lorenzetti-2023-j-int-aids-soc-results-africa
makoni-2024-aids-behav,ASPIRE,False,False,False,False,True,True,True,False,False,True,False,high,high,makoni-2024-aids-behav-abstract
makoni-2024-aids-behav,HPTN_083,False,False,False,False,True,False,False,False,False,False,True,high,high,makoni-2024-aids-behav-abstract
makoni-2024-aids-behav,HPTN_084,False,False,False,False,True,True,True,False,False,True,False,high,high,makoni-2024-aids-behav-abstract
makoni-2024-aids-behav,MTN_025_HOPE,False,False,False,False,True,True,True,False,False,True,False,high,high,makoni-2024-aids-behav-abstract
makoni-2024-aids-behav,RING_STUDY,False,False,False,False,True,True,True,False,False,True,False,high,high,makoni-2024-aids-behav-abstract
mukuhlani-2026-int-j-infect-dis,PURPOSE_1,False,False,False,False,True,True,True,False,False,True,False,high,high,mukuhlani-2026-int-j-infect-dis-abstract
mukuhlani-2026-int-j-infect-dis,PURPOSE_2,False,False,False,False,True,False,False,False,False,False,True,high,high,mukuhlani-2026-int-j-infect-dis-abstract
musekiwa-2020-trop-med-int-health,ASPIRE,False,False,False,False,True,True,True,False,False,True,False,high,high,musekiwa-2020-trop-med-int-health-abstract
musekiwa-2020-trop-med-int-health,RING_STUDY,False,False,False,False,True,True,True,False,False,True,False,high,high,musekiwa-2020-trop-med-int-health-abstract
obiero-2021-cochrane-db-syst-rev,ASPIRE,False,False,False,False,True,True,True,False,False,True,False,high,high,obiero-2021-cochrane-db-syst-rev-abstract
obiero-2021-cochrane-db-syst-rev,RING_STUDY,False,False,False,False,True,True,True,False,False,True,False,high,high,obiero-2021-cochrane-db-syst-rev-abstract
ridgeway-2021-contraception,ASPIRE,False,True,True,True,True,True,True,True,False,False,False,high,high,ridgeway-2021-contraception-methods-geographic;ridgeway-2021-contraception-results-region
ridgeway-2021-contraception,RING_STUDY,False,True,True,True,True,True,True,True,False,False,False,high,high,ridgeway-2021-contraception-methods-geographic;ridgeway-2021-contraception-results-region
sharma-2024-clin-infect-dis,HPTN_083,False,False,False,False,True,False,False,False,False,False,True,high,high,sharma-2024-clin-infect-dis-table1
sharma-2024-clin-infect-dis,HPTN_084,False,False,False,False,True,True,True,False,False,True,False,high,high,sharma-2024-clin-infect-dis-table1
sharma-bhavesh-2026-cureus,HPTN_083,False,False,False,False,True,False,False,False,False,False,True,high,high,sharma-bhavesh-2026-cureus-results
sharma-bhavesh-2026-cureus,HPTN_084,False,False,False,False,True,True,True,False,False,True,False,high,high,sharma-bhavesh-2026-cureus-results
tieosapjaroen-2026-plosmed,HPTN_083,False,True,True,True,True,False,False,False,True,False,False,high,high,tieosapjaroen-2026-plosmed-table1;tieosapjaroen-2026-plosmed-results-false-positives;tieosapjaroen-2026-plosmed-discussion-equity
tieosapjaroen-2026-plosmed,HPTN_084,False,True,True,True,True,True,True,True,False,False,False,high,high,tieosapjaroen-2026-plosmed-table1;tieosapjaroen-2026-plosmed-results-diagnostic-accuracy
tieosapjaroen-2026-plosmed,PURPOSE_1,False,True,True,True,True,True,True,True,False,False,False,high,high,tieosapjaroen-2026-plosmed-table1;tieosapjaroen-2026-plosmed-results-rams
tieosapjaroen-2026-plosmed,PURPOSE_2,False,True,False,True,True,False,False,False,True,False,False,high,high,tieosapjaroen-2026-plosmed-table1;tieosapjaroen-2026-plosmed-results-rams
wang-2023-jmir-public-health-surveill,HPTN_083,False,False,False,False,True,False,False,False,False,False,True,high,high,wang-2023-jmir-public-health-surveill-table1;wang-2023-jmir-public-health-surveill-discussion
wang-2023-jmir-public-health-surveill,HPTN_084,False,False,False,False,True,True,True,False,False,True,False,high,high,wang-2023-jmir-public-health-surveill-table1;wang-2023-jmir-public-health-surveill-discussion
xi-2025-j-int-aids-soc,HPTN_083,False,False,False,False,True,False,False,False,False,False,True,high,high,pmc-PMC12640620-full-text-intro;pmc-PMC12640620-full-text-results-modality
xi-2025-j-int-aids-soc,HPTN_084,False,False,False,False,True,True,True,False,False,True,False,high,high,pmc-PMC12640620-full-text-intro;pmc-PMC12640620-full-text-results-modality
xi-2025-j-int-aids-soc,PURPOSE_1,False,False,False,False,True,True,True,False,False,True,False,high,high,pmc-PMC12640620-full-text-intro;pmc-PMC12640620-full-text-results-modality
xi-2025-j-int-aids-soc,PURPOSE_2,False,False,False,False,True,False,False,False,False,False,True,high,high,pmc-PMC12640620-full-text-intro;pmc-PMC12640620-full-text-results-modality
